ticket_id,customer_id,subject,description,category,priority,channel,status,created_at
21,8744,Plan changed without confirmation,Please help me upgrade from the basic plan to the premium plan. This issue is blocking my team.,Subscription Issues,Low,chat,in_progress,2026-01-08T22:20:31.797967+00:00
22,7735,Refund needed for cancelled order,"I was charged for an order that I cancelled, so I need a refund.",Refund Requests,High,web_portal,resolved,2026-03-06T03:33:31.797967+00:00
23,4139,Payment failed during checkout,"I tried to pay for my order, but the payment failed even though my card details are correct. I have already contacted support once.",Payment Issues,Medium,chat,resolved,2026-05-08T09:31:31.797967+00:00
24,8260,Refund needed for cancelled order,I cancelled the subscription within the trial period but have still been charged. This is affecting my work.,Refund Requests,Medium,email,open,2026-04-02T15:26:31.797967+00:00
25,7658,Trial period expired early,I want to cancel my monthly subscription before the next billing cycle.,Subscription Issues,High,web_portal,in_progress,2026-04-05T12:20:31.797967+00:00
26,8454,Two factor authentication problem,I cannot login even after entering the correct email address and password. This is affecting my work.,Login Problems,Medium,phone,in_progress,2026-02-25T08:57:31.797967+00:00
27,9883,Trial period expired early,My plan seems to have changed without my confirmation. This is affecting my work.,Subscription Issues,Low,email,resolved,2026-04-10T16:01:31.797967+00:00
28,1931,Update account email address,I want to update the email address linked to my customer account. This issue is blocking my team.,Account Management,Low,email,open,2026-01-20T12:38:31.797967+00:00
29,1651,Bank transaction succeeded but order failed,"I tried to pay for my order, but the payment failed even though my card details are correct. This is affecting my work.",Payment Issues,Medium,email,in_progress,2026-01-10T09:36:31.797967+00:00
30,6147,Trial period expired early,The free trial expired earlier than expected and I cannot access premium features. This issue is blocking my team.,Subscription Issues,Medium,chat,in_progress,2026-03-30T11:02:31.797967+00:00
31,8508,Refund needed for cancelled order,The service did not work as promised and I would like my money back. I have already contacted support once.,Refund Requests,Medium,email,open,2026-05-17T17:41:31.797967+00:00
32,5002,Dashboard page is loading slowly,The export feature is not working and the downloaded file is empty. Please resolve this as soon as possible.,Technical Support,Low,phone,in_progress,2026-03-07T15:40:31.797967+00:00
33,1128,Two factor authentication problem,I can login on mobile but the web dashboard keeps showing an authentication error. Please resolve this as soon as possible.,Login Problems,Medium,phone,resolved,2025-12-18T23:57:31.797967+00:00
34,5462,Card was charged twice,The invoice shows a higher amount than expected for my monthly plan.,Payment Issues,High,phone,resolved,2026-01-14T12:42:31.797967+00:00
35,2512,Account locked after many attempts,The password reset email link has expired and I cannot generate a new one. Please resolve this as soon as possible.,Login Problems,Medium,web_portal,in_progress,2026-04-01T16:16:31.797967+00:00
36,8239,Payment failed during checkout,The invoice shows a higher amount than expected for my monthly plan. This is affecting my work.,Payment Issues,Medium,web_portal,resolved,2026-03-29T12:30:31.797967+00:00
37,3426,Payment failed during checkout,"I tried to pay for my order, but the payment failed even though my card details are correct. This is affecting my work.",Payment Issues,Medium,web_portal,open,2026-03-01T22:08:31.797967+00:00
38,5088,Invoice amount looks incorrect,The invoice shows a higher amount than expected for my monthly plan.,Payment Issues,High,email,in_progress,2026-04-11T18:44:31.797967+00:00
39,3900,API integration is failing,The export feature is not working and the downloaded file is empty. This is affecting my work.,Technical Support,High,web_portal,open,2026-04-05T12:28:31.797967+00:00
40,7267,Account locked after many attempts,The two factor authentication code is not arriving on my phone. This is affecting my work.,Login Problems,Medium,email,in_progress,2025-12-07T14:19:31.797967+00:00
41,1387,Password reset link not working,The two factor authentication code is not arriving on my phone. Please resolve this as soon as possible.,Login Problems,Medium,chat,in_progress,2026-04-07T10:24:31.797967+00:00
42,9785,Add another team member,I want to update the email address linked to my customer account. Please resolve this as soon as possible.,Account Management,Low,phone,open,2026-01-25T04:22:31.797967+00:00
43,2776,Invoice amount looks incorrect,My credit card was charged two times for the same subscription renewal. This issue is blocking my team.,Payment Issues,High,web_portal,in_progress,2026-03-29T16:42:31.797967+00:00
44,4114,Subscription renewal problem,My plan seems to have changed without my confirmation. This issue is blocking my team.,Subscription Issues,High,phone,open,2026-05-06T04:52:31.797967+00:00
45,4228,Plan changed without confirmation,I want to cancel my monthly subscription before the next billing cycle. This issue is blocking my team.,Subscription Issues,High,phone,in_progress,2026-01-17T18:34:31.797967+00:00
46,9308,Invoice amount looks incorrect,I cannot add a new payment method because the checkout page keeps rejecting my card. Please resolve this as soon as possible.,Payment Issues,Medium,phone,resolved,2026-05-04T07:45:31.797967+00:00
47,7211,Money back for failed service,I cancelled the subscription within the trial period but have still been charged. Please resolve this as soon as possible.,Refund Requests,Medium,chat,resolved,2026-04-16T03:39:31.797967+00:00
48,4443,Error while uploading file,Our API integration started failing with timeout errors after the latest update. This issue is blocking my team.,Technical Support,High,web_portal,resolved,2026-03-19T08:13:31.797967+00:00
49,8752,Error while uploading file,Our API integration started failing with timeout errors after the latest update. I have already contacted support once.,Technical Support,Medium,chat,resolved,2026-04-11T00:34:31.797967+00:00
50,6085,Invoice amount looks incorrect,I cannot add a new payment method because the checkout page keeps rejecting my card. This issue is blocking my team.,Payment Issues,Medium,chat,open,2026-04-04T19:03:31.797967+00:00
51,8461,Cannot login to my account,I cannot login even after entering the correct email address and password. This is affecting my work.,Login Problems,High,web_portal,resolved,2025-12-30T15:31:31.797967+00:00
52,1090,Dashboard page is loading slowly,Our API integration started failing with timeout errors after the latest update. I have already contacted support once.,Technical Support,Medium,email,in_progress,2026-04-27T19:37:31.797967+00:00
53,8478,Password reset link not working,I can login on mobile but the web dashboard keeps showing an authentication error. I have already contacted support once.,Login Problems,Low,chat,in_progress,2026-04-02T13:52:31.797967+00:00
54,9270,Trial period expired early,The free trial expired earlier than expected and I cannot access premium features. This issue is blocking my team.,Subscription Issues,Medium,web_portal,resolved,2026-02-10T21:06:31.797967+00:00
55,5543,Refund needed for cancelled order,I cancelled the subscription within the trial period but have still been charged. I have already contacted support once.,Refund Requests,Medium,web_portal,resolved,2026-04-01T20:15:31.797967+00:00
56,6502,Account locked after many attempts,The two factor authentication code is not arriving on my phone.,Login Problems,High,phone,resolved,2026-04-05T08:44:31.797967+00:00
57,2052,Card was charged twice,My credit card was charged two times for the same subscription renewal. This is affecting my work.,Payment Issues,Medium,web_portal,in_progress,2026-04-26T10:42:31.797967+00:00
58,1320,Update billing contact,My old phone number is still attached to the account and I want to remove it. I have already contacted support once.,Account Management,Low,web_portal,in_progress,2026-02-17T04:43:31.797967+00:00
59,9947,Invoice amount looks incorrect,The invoice shows a higher amount than expected for my monthly plan. I have already contacted support once.,Payment Issues,High,chat,in_progress,2026-02-16T23:38:31.797967+00:00
60,7624,Account locked after many attempts,The two factor authentication code is not arriving on my phone. I have already contacted support once.,Login Problems,Low,chat,in_progress,2026-03-09T19:11:31.797967+00:00
61,1444,Unable to access dashboard,I can login on mobile but the web dashboard keeps showing an authentication error.,Login Problems,High,email,resolved,2026-01-03T22:45:31.797967+00:00
62,4467,Refund needed for cancelled order,I cancelled the subscription within the trial period but have still been charged. This is affecting my work.,Refund Requests,Low,web_portal,in_progress,2026-02-27T06:50:31.797967+00:00
63,1317,Remove old phone number,I need to invite a new teammate and assign account access permissions. I have already contacted support once.,Account Management,Low,email,in_progress,2026-05-15T01:57:31.797967+00:00
64,3496,Cannot login to my account,I cannot login even after entering the correct email address and password.,Login Problems,High,chat,open,2026-04-14T17:19:31.797967+00:00
65,3749,Request refund for duplicate payment,"My refund request was approved last week, but the amount has not reached my bank account. This is affecting my work.",Refund Requests,Medium,email,open,2026-03-31T05:25:31.797967+00:00
66,7149,Update account email address,The billing contact has changed and I need the account details updated.,Account Management,High,web_portal,resolved,2026-01-07T18:53:31.797967+00:00
67,2983,Cannot login to my account,I can login on mobile but the web dashboard keeps showing an authentication error. This is affecting my work.,Login Problems,Medium,email,in_progress,2026-03-18T18:39:31.797967+00:00
68,7882,API integration is failing,I am getting an error while uploading a CSV file to the platform.,Technical Support,Medium,web_portal,open,2026-03-09T17:35:31.797967+00:00
69,5425,Money back for failed service,I cancelled the subscription within the trial period but have still been charged. This is affecting my work.,Refund Requests,Medium,web_portal,in_progress,2026-01-21T19:48:31.797967+00:00
70,8385,Refund status not updated,The service did not work as promised and I would like my money back. Please resolve this as soon as possible.,Refund Requests,High,chat,in_progress,2026-05-13T08:29:31.797967+00:00
71,8988,Feature not working after update,Our API integration started failing with timeout errors after the latest update. Please resolve this as soon as possible.,Technical Support,Low,chat,in_progress,2026-03-13T11:48:31.797967+00:00
72,1166,Add another team member,I need to invite a new teammate and assign account access permissions. This issue is blocking my team.,Account Management,Medium,chat,open,2026-03-25T23:02:31.797967+00:00
73,9041,Two factor authentication problem,The two factor authentication code is not arriving on my phone. This issue is blocking my team.,Login Problems,High,web_portal,open,2025-12-10T01:45:31.797967+00:00
74,7046,Invoice amount looks incorrect,My credit card was charged two times for the same subscription renewal. I have already contacted support once.,Payment Issues,Medium,web_portal,resolved,2026-03-17T19:21:31.797967+00:00
75,5438,Error while uploading file,Our API integration started failing with timeout errors after the latest update. This issue is blocking my team.,Technical Support,Medium,phone,in_progress,2025-12-07T02:31:31.797967+00:00
76,4033,Cannot login to my account,The password reset email link has expired and I cannot generate a new one. Please resolve this as soon as possible.,Login Problems,Medium,chat,open,2026-01-17T18:27:31.797967+00:00
77,5636,Plan changed without confirmation,My subscription renewal failed even though my payment method is active. This issue is blocking my team.,Subscription Issues,High,email,open,2026-01-20T21:38:31.797967+00:00
78,5494,Change company profile details,I need to invite a new teammate and assign account access permissions. This is affecting my work.,Account Management,Low,email,open,2026-01-19T13:41:31.797967+00:00
79,5658,Error while uploading file,The dashboard takes a very long time to load and sometimes shows a server error. I have already contacted support once.,Technical Support,Low,web_portal,in_progress,2026-05-31T22:25:31.797967+00:00
80,2070,Money back for failed service,Please refund the duplicate payment made from my card yesterday.,Refund Requests,Medium,web_portal,in_progress,2026-02-02T14:07:31.797967+00:00
81,2395,Bank transaction succeeded but order failed,"I tried to pay for my order, but the payment failed even though my card details are correct. This is affecting my work.",Payment Issues,Low,chat,open,2026-01-11T07:38:31.797967+00:00
82,7232,API integration is failing,The export feature is not working and the downloaded file is empty. This issue is blocking my team.,Technical Support,High,web_portal,in_progress,2026-04-08T00:10:31.797967+00:00
83,2625,Update billing contact,My old phone number is still attached to the account and I want to remove it. Please resolve this as soon as possible.,Account Management,Medium,chat,resolved,2026-05-19T21:12:31.797967+00:00
84,3564,Account locked after many attempts,I cannot login even after entering the correct email address and password. This is affecting my work.,Login Problems,Medium,email,in_progress,2026-01-14T15:27:31.797967+00:00
85,8438,Refund status not updated,I cancelled the subscription within the trial period but have still been charged. Please resolve this as soon as possible.,Refund Requests,Low,email,resolved,2026-03-23T08:21:31.797967+00:00
86,3441,Account locked after many attempts,I can login on mobile but the web dashboard keeps showing an authentication error. This is affecting my work.,Login Problems,Medium,phone,open,2026-01-16T10:20:31.797967+00:00
87,8195,Payment failed during checkout,My credit card was charged two times for the same subscription renewal. Please resolve this as soon as possible.,Payment Issues,Medium,email,in_progress,2026-01-10T08:09:31.797967+00:00
88,2317,Subscription renewal problem,My plan seems to have changed without my confirmation. Please resolve this as soon as possible.,Subscription Issues,Medium,email,in_progress,2026-01-29T03:04:31.797967+00:00
89,1339,Subscription renewal problem,The free trial expired earlier than expected and I cannot access premium features. Please resolve this as soon as possible.,Subscription Issues,Low,phone,resolved,2026-04-06T19:00:31.797967+00:00
90,8141,Card was charged twice,"The transaction was deducted from my bank account, but the payment status still says pending. This issue is blocking my team.",Payment Issues,Medium,web_portal,open,2026-03-25T11:49:31.797967+00:00
91,6403,Money back for failed service,I cancelled the subscription within the trial period but have still been charged. Please resolve this as soon as possible.,Refund Requests,Medium,web_portal,resolved,2026-05-09T12:31:31.797967+00:00
92,5135,Money back for failed service,I cancelled the subscription within the trial period but have still been charged. This issue is blocking my team.,Refund Requests,Low,phone,open,2026-05-13T07:16:31.797967+00:00
93,9494,Refund status not updated,"I was charged for an order that I cancelled, so I need a refund. This issue is blocking my team.",Refund Requests,Medium,phone,resolved,2026-05-22T11:36:31.797967+00:00
94,8178,Cancel purchase and refund,"I was charged for an order that I cancelled, so I need a refund. This is affecting my work.",Refund Requests,Medium,web_portal,open,2026-05-02T08:11:31.797967+00:00
95,7684,Bank transaction succeeded but order failed,My credit card was charged two times for the same subscription renewal. This is affecting my work.,Payment Issues,Medium,email,open,2026-05-31T23:09:31.797967+00:00
96,5479,Unable to complete payment,"I tried to pay for my order, but the payment failed even though my card details are correct. This is affecting my work.",Payment Issues,Medium,web_portal,in_progress,2026-03-22T00:38:31.797967+00:00
97,9327,Refund needed for cancelled order,I cancelled the subscription within the trial period but have still been charged. This issue is blocking my team.,Refund Requests,Medium,chat,open,2026-04-16T21:33:31.797967+00:00
98,5891,Remove old phone number,I need to invite a new teammate and assign account access permissions. This issue is blocking my team.,Account Management,Low,web_portal,open,2026-06-04T08:21:31.797967+00:00
99,8460,Refund status not updated,I cancelled the subscription within the trial period but have still been charged. Please resolve this as soon as possible.,Refund Requests,Medium,phone,open,2026-01-16T05:08:31.797967+00:00
100,6213,Upgrade monthly plan,The free trial expired earlier than expected and I cannot access premium features. I have already contacted support once.,Subscription Issues,Low,web_portal,resolved,2026-02-19T16:31:31.797967+00:00
101,6439,Cancel purchase and refund,Please refund the duplicate payment made from my card yesterday. I have already contacted support once.,Refund Requests,High,email,in_progress,2026-05-03T00:52:31.797967+00:00
102,3529,Bank transaction succeeded but order failed,"The transaction was deducted from my bank account, but the payment status still says pending.",Payment Issues,Medium,email,in_progress,2026-02-19T19:40:31.797967+00:00
103,9742,Add another team member,The billing contact has changed and I need the account details updated. I have already contacted support once.,Account Management,Medium,web_portal,in_progress,2026-03-11T18:59:31.797967+00:00
104,5708,Plan changed without confirmation,The free trial expired earlier than expected and I cannot access premium features.,Subscription Issues,Medium,chat,resolved,2026-04-04T20:28:31.797967+00:00
105,1474,Unable to complete payment,"I tried to pay for my order, but the payment failed even though my card details are correct.",Payment Issues,Medium,email,in_progress,2025-12-09T07:47:31.797967+00:00
106,7751,Invoice amount looks incorrect,The invoice shows a higher amount than expected for my monthly plan. Please resolve this as soon as possible.,Payment Issues,Medium,chat,open,2026-04-02T23:53:31.797967+00:00
107,3344,Cannot login to my account,I can login on mobile but the web dashboard keeps showing an authentication error. I have already contacted support once.,Login Problems,Medium,chat,in_progress,2026-04-04T01:01:31.797967+00:00
108,9955,Subscription renewal problem,My plan seems to have changed without my confirmation. Please resolve this as soon as possible.,Subscription Issues,Medium,chat,open,2026-02-05T08:11:31.797967+00:00
109,5097,Money back for failed service,"My refund request was approved last week, but the amount has not reached my bank account. Please resolve this as soon as possible.",Refund Requests,High,web_portal,in_progress,2026-02-15T18:27:31.797967+00:00
110,5847,Two factor authentication problem,The two factor authentication code is not arriving on my phone.,Login Problems,Medium,phone,open,2026-01-09T05:45:31.797967+00:00
111,9138,Plan changed without confirmation,My subscription renewal failed even though my payment method is active.,Subscription Issues,Medium,phone,open,2025-12-11T16:20:31.797967+00:00
112,3240,Error while uploading file,The dashboard takes a very long time to load and sometimes shows a server error. This is affecting my work.,Technical Support,High,email,resolved,2025-12-12T19:30:31.797967+00:00
113,2476,Cancel my subscription,My subscription renewal failed even though my payment method is active. I have already contacted support once.,Subscription Issues,Low,phone,in_progress,2026-03-03T13:31:31.797967+00:00
114,9697,Plan changed without confirmation,Please help me upgrade from the basic plan to the premium plan. This is affecting my work.,Subscription Issues,Low,phone,open,2026-01-17T05:31:31.797967+00:00
115,3306,Remove old phone number,I need to invite a new teammate and assign account access permissions. Please resolve this as soon as possible.,Account Management,Medium,chat,resolved,2026-02-05T15:26:31.797967+00:00
116,5332,Plan changed without confirmation,The free trial expired earlier than expected and I cannot access premium features. Please resolve this as soon as possible.,Subscription Issues,Low,email,in_progress,2026-02-23T17:32:31.797967+00:00
117,4830,Add another team member,The billing contact has changed and I need the account details updated. I have already contacted support once.,Account Management,Medium,web_portal,open,2026-03-01T14:19:31.797967+00:00
118,8606,Feature not working after update,I am getting an error while uploading a CSV file to the platform. This issue is blocking my team.,Technical Support,Medium,phone,resolved,2026-05-18T20:19:31.797967+00:00
119,2902,Request refund for duplicate payment,Please refund the duplicate payment made from my card yesterday.,Refund Requests,High,email,open,2026-03-19T01:12:31.797967+00:00
120,7866,Dashboard page is loading slowly,Our API integration started failing with timeout errors after the latest update. I have already contacted support once.,Technical Support,Medium,chat,in_progress,2025-12-07T23:34:31.797967+00:00
121,7070,Cancel my subscription,My plan seems to have changed without my confirmation. This issue is blocking my team.,Subscription Issues,Medium,chat,in_progress,2026-03-25T16:53:31.797967+00:00
122,6876,Refund needed for cancelled order,The service did not work as promised and I would like my money back.,Refund Requests,High,email,in_progress,2026-03-01T23:25:31.797967+00:00
123,1349,Change company profile details,I want to update the email address linked to my customer account. I have already contacted support once.,Account Management,Low,email,in_progress,2026-04-10T20:06:31.797967+00:00
124,4538,Password reset link not working,I can login on mobile but the web dashboard keeps showing an authentication error. This is affecting my work.,Login Problems,Low,chat,in_progress,2026-01-14T10:56:31.797967+00:00
125,9850,Unable to access dashboard,I cannot login even after entering the correct email address and password. Please resolve this as soon as possible.,Login Problems,High,phone,open,2026-04-28T13:34:31.797967+00:00
126,6304,Payment failed during checkout,My credit card was charged two times for the same subscription renewal.,Payment Issues,Medium,email,open,2026-04-04T21:55:31.797967+00:00
127,8344,Update account email address,Please help me change the company name and profile information in my account. I have already contacted support once.,Account Management,Low,phone,resolved,2026-05-19T01:45:31.797967+00:00
128,9543,Application keeps crashing,Our API integration started failing with timeout errors after the latest update. This issue is blocking my team.,Technical Support,Medium,phone,in_progress,2025-12-29T16:32:31.797967+00:00
129,2768,Cancel my subscription,I want to cancel my monthly subscription before the next billing cycle. I have already contacted support once.,Subscription Issues,High,web_portal,resolved,2026-02-14T18:35:31.797967+00:00
130,5505,Request refund for duplicate payment,"I was charged for an order that I cancelled, so I need a refund. Please resolve this as soon as possible.",Refund Requests,High,phone,in_progress,2026-05-19T13:42:31.797967+00:00
131,2874,Feature not working after update,I am getting an error while uploading a CSV file to the platform. I have already contacted support once.,Technical Support,Medium,chat,in_progress,2026-02-14T14:37:31.797967+00:00
132,2557,Refund needed for cancelled order,I cancelled the subscription within the trial period but have still been charged. Please resolve this as soon as possible.,Refund Requests,High,phone,in_progress,2026-02-22T03:49:31.797967+00:00
133,2494,Add another team member,I need to invite a new teammate and assign account access permissions. This is affecting my work.,Account Management,Medium,email,open,2026-02-03T15:43:31.797967+00:00
134,6400,Request refund for duplicate payment,The service did not work as promised and I would like my money back. This is affecting my work.,Refund Requests,Medium,email,in_progress,2026-01-04T22:50:31.797967+00:00
135,9313,Remove old phone number,I want to update the email address linked to my customer account. Please resolve this as soon as possible.,Account Management,Medium,chat,open,2026-03-06T14:28:31.797967+00:00
136,2882,Plan changed without confirmation,Please help me upgrade from the basic plan to the premium plan.,Subscription Issues,Medium,phone,resolved,2026-01-13T05:28:31.797967+00:00
137,1430,Two factor authentication problem,I can login on mobile but the web dashboard keeps showing an authentication error. This issue is blocking my team.,Login Problems,Medium,phone,open,2025-12-21T23:00:31.797967+00:00
138,7566,Account locked after many attempts,My account is locked because I entered the wrong password several times. Please resolve this as soon as possible.,Login Problems,Medium,email,open,2026-04-19T13:07:31.797967+00:00
139,6585,Cancel my subscription,I want to cancel my monthly subscription before the next billing cycle. This issue is blocking my team.,Subscription Issues,Low,chat,in_progress,2026-02-17T02:31:31.797967+00:00
140,3579,Add another team member,The billing contact has changed and I need the account details updated. This issue is blocking my team.,Account Management,Low,email,resolved,2026-05-22T12:42:31.797967+00:00
141,5475,Invoice amount looks incorrect,"The transaction was deducted from my bank account, but the payment status still says pending. I have already contacted support once.",Payment Issues,Medium,chat,resolved,2026-02-11T03:52:31.797967+00:00
142,8972,Invoice amount looks incorrect,"The transaction was deducted from my bank account, but the payment status still says pending.",Payment Issues,Medium,phone,open,2025-12-12T21:46:31.797967+00:00
143,3248,Two factor authentication problem,I can login on mobile but the web dashboard keeps showing an authentication error.,Login Problems,Low,phone,in_progress,2026-03-19T10:48:31.797967+00:00
144,7229,Update account email address,I want to update the email address linked to my customer account. I have already contacted support once.,Account Management,Medium,chat,resolved,2026-04-21T13:36:31.797967+00:00
145,1307,Error while uploading file,The application crashes every time I open the reports page. I have already contacted support once.,Technical Support,High,web_portal,open,2026-05-25T03:07:31.797967+00:00
146,5743,Update billing contact,My old phone number is still attached to the account and I want to remove it. This issue is blocking my team.,Account Management,Low,email,in_progress,2025-12-23T03:45:31.797967+00:00
147,2443,Invoice amount looks incorrect,My credit card was charged two times for the same subscription renewal. This issue is blocking my team.,Payment Issues,Medium,web_portal,open,2025-12-10T05:39:31.797967+00:00
148,6562,Two factor authentication problem,I can login on mobile but the web dashboard keeps showing an authentication error. I have already contacted support once.,Login Problems,Medium,chat,in_progress,2026-02-23T07:25:31.797967+00:00
149,6752,Cannot login to my account,I can login on mobile but the web dashboard keeps showing an authentication error.,Login Problems,Medium,chat,open,2026-04-16T06:05:31.797967+00:00
150,2234,Card was charged twice,The invoice shows a higher amount than expected for my monthly plan. This is affecting my work.,Payment Issues,Medium,chat,resolved,2026-04-25T19:38:31.797967+00:00
151,6295,Cancel purchase and refund,"My refund request was approved last week, but the amount has not reached my bank account. This issue is blocking my team.",Refund Requests,Medium,phone,open,2026-01-10T20:04:31.797967+00:00
152,1920,Request refund for duplicate payment,I cancelled the subscription within the trial period but have still been charged. I have already contacted support once.,Refund Requests,High,phone,resolved,2026-03-25T21:49:31.797967+00:00
153,2257,Invoice amount looks incorrect,"The transaction was deducted from my bank account, but the payment status still says pending. I have already contacted support once.",Payment Issues,Low,email,resolved,2026-03-02T08:13:31.797967+00:00
154,4084,Feature not working after update,Our API integration started failing with timeout errors after the latest update. I have already contacted support once.,Technical Support,Medium,phone,resolved,2026-05-25T02:39:31.797967+00:00
155,9266,Refund status not updated,Please refund the duplicate payment made from my card yesterday.,Refund Requests,Medium,chat,open,2026-03-09T15:08:31.797967+00:00
156,7108,Two factor authentication problem,The two factor authentication code is not arriving on my phone. This issue is blocking my team.,Login Problems,Medium,phone,in_progress,2026-04-25T05:35:31.797967+00:00
157,2079,Money back for failed service,"My refund request was approved last week, but the amount has not reached my bank account.",Refund Requests,High,phone,open,2025-12-21T06:35:31.797967+00:00
158,3463,API integration is failing,I am getting an error while uploading a CSV file to the platform. Please resolve this as soon as possible.,Technical Support,High,phone,open,2025-12-17T21:26:31.797967+00:00
159,7421,Dashboard page is loading slowly,I am getting an error while uploading a CSV file to the platform. Please resolve this as soon as possible.,Technical Support,High,chat,resolved,2025-12-07T19:24:31.797967+00:00
160,9624,Cancel my subscription,My subscription renewal failed even though my payment method is active. This issue is blocking my team.,Subscription Issues,Medium,email,resolved,2026-03-12T13:39:31.797967+00:00
161,4509,Plan changed without confirmation,The free trial expired earlier than expected and I cannot access premium features. Please resolve this as soon as possible.,Subscription Issues,Low,phone,in_progress,2026-03-17T11:51:31.797967+00:00
162,9843,Password reset link not working,The password reset email link has expired and I cannot generate a new one. This is affecting my work.,Login Problems,Low,email,resolved,2026-05-10T00:41:31.797967+00:00
163,3712,Update billing contact,Please help me change the company name and profile information in my account. This issue is blocking my team.,Account Management,Low,web_portal,open,2026-04-24T11:50:31.797967+00:00
164,9749,Money back for failed service,Please refund the duplicate payment made from my card yesterday. I have already contacted support once.,Refund Requests,High,chat,in_progress,2026-02-10T10:01:31.797967+00:00
165,7256,Refund needed for cancelled order,The service did not work as promised and I would like my money back. This issue is blocking my team.,Refund Requests,High,web_portal,open,2026-02-06T08:23:31.797967+00:00
166,2680,Unable to access dashboard,The password reset email link has expired and I cannot generate a new one. Please resolve this as soon as possible.,Login Problems,Low,email,in_progress,2026-02-01T05:20:31.797967+00:00
167,2502,Card was charged twice,The invoice shows a higher amount than expected for my monthly plan. I have already contacted support once.,Payment Issues,High,chat,in_progress,2026-04-28T03:05:31.797967+00:00
168,7326,Update account email address,My old phone number is still attached to the account and I want to remove it.,Account Management,Low,email,in_progress,2026-03-01T09:58:31.797967+00:00
169,3392,Cannot login to my account,My account is locked because I entered the wrong password several times.,Login Problems,High,chat,open,2025-12-20T06:34:31.797967+00:00
170,1311,Remove old phone number,Please help me change the company name and profile information in my account. I have already contacted support once.,Account Management,Low,phone,open,2026-06-03T15:18:31.797967+00:00
171,5934,Unable to access dashboard,I can login on mobile but the web dashboard keeps showing an authentication error. This issue is blocking my team.,Login Problems,Medium,email,open,2026-03-23T09:54:31.797967+00:00
172,9782,Two factor authentication problem,I can login on mobile but the web dashboard keeps showing an authentication error. I have already contacted support once.,Login Problems,Low,email,resolved,2026-01-27T21:38:31.797967+00:00
